National/ Regional,Platform,Facility,Authors,Title of publication,Journal,Volume,Issue,Pages y-x,Year of publication,"Co-publication, academy - industry, (yes/no)",Journal Impact factor ,
National,Affinity proteomics,Cell Profiling (KTH),"Klevebring D, Fagerberg L, Lundberg E, Emanuelsson O, UhlÃ©n M, Lundeberg J.",Analysis of transcript and protein overlap in a human osteosarcoma cell line.,BMC Genomics,11,,684,2010,no,4.206,21126332
National,Affinity proteomics,Cell Profiling (KTH),"Borsics T,  Lundberg E,  Geerts D,  Koomoa DL,  Koster J,  Wester K,  Bachmann AS.","Subcellular distribution and expression of prenylated Rab acceptor 1 domain family, member 2 (PRAF2) in malignant glioma: Influence on cell survival and migration",Cancer Sci,101,7,1624-31,2010,no,3.846,20412121
National,Affinity proteomics,Cell Profiling (KTH),"Stadler C, Skogs M, Brismar H, UhlÃ©n M, Lundberg E.",A single fixation protocol for proteome-wide immunofluorescence localization studies.,J Proteomics,73,6,1067-78,2010,no,5.074,19896565
National,Affinity proteomics,Cell Profiling (KTH),"Lundberg E, Fagerberg L, Klevebring D, Matic I, Geiger T, Cox J, AlgenÃ¤s C, Lundeberg J, Mann M, Uhlen M.",Defining the transcriptome and proteome in three functionally different human cell lines.,Mol Syst Biol,6,,450,2010,no,9.667,21179022
National,Affinity proteomics,Cell Profiling (KTH),"Uhlen M, Oksvold P, Fagerberg L, Lundberg E, Jonasson K, Forsberg M, Zwahlen M, Kampf C, Wester K, Hober S, Wernerus H, BjÃ¶rling L, Ponten F.",Towards a knowledge-based Human Protein Atlas.,Nat Biotechnol,28,12,1248-50,2010,no,31.09,21139605
National,Affinity proteomics,Cell Profiling (KTH),"Lundberg E, UhlÃ©n M.",Creation of an antibody-based subcellular protein atlas.,Proteomics,10,22,3984-96,2010,no,4.815,20648481
National,Affinity proteomics,Cell Profiling (KTH),"Magnusson K, de Wit M, Brennan DJ, Johnson LB, McGee SF, Lundberg E, Naicker K, Klinger R, Kampf C, Asplund A, Wester K, Gry M, Bjartell A, Gallagher WM, Rexhepaj E, Kilpinen S, Kallioniemi OP, Belt E, Goos J, Meijer G, Birgisson H, Glimelius B, et al.",SATB2 in combination with cytokeratin 20 identifies over 95% of all colorectal carcinomas.,Am J Surg Pathol,35,7,937-48,2011,no,4.352,21677534
National,Affinity proteomics,Cell Profiling (KTH),"Jakobsen L, Vanselow K, Skogs M, Toyoda Y, Lundberg E, Poser I, Falkenby LG, Bennetzen M, Westendorf J, Nigg EA, Uhlen M, Hyman AA, Andersen JS.",Novel asymmetrically localizing components of human centrosomes identified by complementary proteomics methods.,EMBO J,30,8,1520-35,2011,no,9.205,21399614
National,Affinity proteomics,Cell Profiling (KTH),"Fagerberg L, Stadler C, Skogs M, Hjelmare M, Jonasson K, Wiking M, Abergh A, UhlÃ©n M, Lundberg E.",Mapping the subcellular protein distribution in three human cell lines.,J Proteome Res,10,8,3766-77,2011,no,5.113,21675716
National,Affinity proteomics,Cell Profiling (KTH),"Hjelm B, ForsstrÃ¶m B, Igel U, Johannesson H, Stadler C, Lundberg E, Ponten F, SjÃ¶berg A, Rockberg J, Schwenk JM, Nilsson P, Johansson C, UhlÃ©n M.",Generation of monospecific antibodies based on affinity capture of polyclonal antibodies.,Protein Sci,20,11,1824-35,2011,no,2.798,
National,Affinity proteomics,Cell Profiling (KTH),"Solnestam BW, Stranneheim H, HÃ¤llman J, KÃ¤ller M, Lundberg E, Lundeberg J, Akan P.",Comparison of total and cytoplasmic mRNA reveals global regulation by nuclear retention and miRNAs.,BMC Genomics,13,,574,2012,no,4.397,23110385
National,Affinity proteomics,Cell Profiling (KTH),"Kampf C, Bergman J, Oksvold P, Asplund A, Navani S, Wiking M, Lundberg E, UhlÃ©n M, Ponten F.",A tool to facilitate clinical biomarker studies--a tissue dictionary based on the Human Protein Atlas.,BMC Med,10,,103,2012,no,6.679,22971420
National,Affinity proteomics,Cell Profiling (KTH),"Akan P, Alexeyenko A, Costea PI, Hedberg L, Solnestam BW, Lundin S, HÃ¤llman J, Lundberg E, UhlÃ©n M, Lundeberg J.",Comprehensive analysis of the genome transcriptome and proteome landscapes of three tumor cell lines.,Genome Med,4,11,86,2012,no,3.906,23158748
