Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal
4,Drug Discovery and Development,Protein Expression and Characterization,10.1158/0008-5472.CAN-16-1476,,8.556,Service,anders.olsson@scilifelab.se,0008-5472 1538-7445,Crystal structure of the emerging cancer target MTHFD2 in complex with a substra...,"Gustafsson R, Jemth A, ..., Stenmark P",CANCER RES,27899380
5,Drug Discovery and Development,ADME of Therapeutics (UDOPP),DOI: 10.1021/acschemneuro.6b00146,,3.94,Collaborative,pawel.baranczewski@farmaci.uu.se,1948-7193 1948-7193,Aryl Sulfonamide Inhibitors of Insulin-Regulated Aminopeptidase Enhance Spine De...,"Diwakarla S, Nylander E, ..., Hallberg M",,
7,National Bioinformatics Infrastructure Sweden,Bioinformatics Long-term Support WABI,10.1038/ncomms13642,,11.329,Collaborative,bjorn.nystedt@scilifelab.se,2041-1723,Production of individualized V gene databases reveals high levels of immunoglobu...,"Corcoran MM, Phad GE, ..., Hedestam GBK",NAT COMMUN,27995928
9,Affinity proteomics,Tissue profiling,10.1111/jop.12545,,1.859,Collaborative,per-henrik.edqvist@igp.uu.se,0904-2512,Cetuximab sensitivity of head and neck squamous cell carcinoma xenografts is ass...,"Jedlinski A, Garvin S, ..., Roberg K",J ORAL PATHOL MED,28036101
11,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1109/JSTSP.2015.2491304,,2.569,Collaborative,petter.ranefall@it.uu.se,1932-4553 1941-0484,Segmentation and Track-Analysis in Time-Lapse Imaging of Bacteria,"Sadanandan SK, Baltekin O, ..., Wahlby C",IEEE J-STSP,
26,National Bioinformatics Infrastructure Sweden,Bioinformatics Long-term Support WABI,10.1101/085050,,?,Technology development,bjorn.nystedt@scilifelab.se,,WhatsHap: fast and accurate read-based phasing,"Martin M, Patterson M, ..., Marschall T",bioRxiv (e),
56,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.5194/bg-13-4751-2016,-,4.10,Service,ellen.sherwood@scilifelab.se,1726-4189,Effects of wastewater treatment plant effluent inputs on planktonic metabolic ra...,"Vaquer-Sunyer R, Reader HE, ..., Kritzberg ES",Biogeosciences (e),
61,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1210/en.2016-1758,-,4.159,Service,ellen.sherwood@scilifelab.se,0013-7227 1945-7170,The human adrenal gland proteome defined by transcriptomics and antibody-based p...,"Bergman J, Botling J, ..., Pontén F",ENDOCRINOLOGY,27901589
65,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.3389/fmicb.2016.01883,-,4.165,Service,ellen.sherwood@scilifelab.se,1664-302X,Phylogenetic Signals of Salinity and Season in Bacterial Community Composition A...,"Herlemann DPR, Lundin D, ..., Jürgens K",FRONT MICROBIOL,27933046
79,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.5194/bg-13-4751-2016,,4.10,Service,max.kaller@scilifelab.se,1726-4189,Effects of wastewater treatment plant effluent inputs on planktonic metabolic ra...,"Vaquer-Sunyer R, Reader HE, ..., Kritzberg ES",Biogeosciences (e),
84,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1210/en.2016-1758,,4.159,Service,max.kaller@scilifelab.se,0013-7227 1945-7170,The human adrenal gland proteome defined by transcriptomics and antibody-based p...,"Bergman J, Botling J, ..., Pontén F",ENDOCRINOLOGY,27901589
88,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.3389/fmicb.2016.01883,,4.165,Service,max.kaller@scilifelab.se,1664-302X,Phylogenetic Signals of Salinity and Season in Bacterial Community Composition A...,"Herlemann DPR, Lundin D, ..., Jürgens K",FRONT MICROBIOL,27933046
110,Affinity Proteomics,Fluorescence Tissue Profiling,10.18632/oncotarget.9632,,5.008,Collaborative,jan.mulder@scilifelab.se,1949-2553,Survival-associated heterogeneity of marker-defined perivascular cells in colore...,"Mezheyeuski A, Bradic Lindh M, ..., Östman A",ONCOTARGET,27248825
116,Affinity Proteomics,PLA Proteomics,10.1042/BCJ20160581,,3.562,Service,masood.kamali@igp.uu.se,0264-6021 1470-8728,Scaffolding protein IQGAP1: an insulin-dependent link between caveolae and the c...,"Jufvas A, Rajan MR, ..., Turkina MV",BIOCHEM J,27458251
141,Affinity Proteomics,Tissue Profiling,10.1080/14789450.2016.1199280,,3.465,Collaborative,per-henrik.edqvist@igp.uu.se,1478-9450 1744-8387,The Human Protein Atlas – an important resource for basic and clinical research,Lindskog C,EXPERT REV PROTEOMIC,27276068
145,Affinity Proteomics,Tissue Profiling,10.1158/0008-5472.CAN-15-2596,,8.556,Collaborative,per-henrik.edqvist@igp.uu.se,0008-5472 1538-7445,Guidance Molecule SEMA3A Restricts Tumor Growth by Differentially Regulating the...,"Wallerius M, Wallmann T, ..., Rolny C",CANCER RES,27197153
147,Affinity Proteomics,Tissue Profiling,10.1172/jci.insight.86837,,Kan inte hitta,Collaborative,per-henrik.edqvist@igp.uu.se,2379-3708,Profiling cancer testis antigens in non–small-cell lung cancer,"Djureinovic D, Hallström BM, ..., Micke P",,27699219
148,Affinity Proteomics,Tissue Profiling,10.1186/s12885-016-2646-x,,3.265,Collaborative,per-henrik.edqvist@igp.uu.se,1471-2407,Inconsistent results in the analysis of ALK rearrangements in non-small cell lun...,"Mattsson JSM, Brunnström H, ..., Svensson MA",BMC CANCER,27495736
150,Affinity Proteomics,Tissue Profiling,10.1210/en.2016-1758,,4.159,Collaborative,per-henrik.edqvist@igp.uu.se,0013-7227 1945-7170,The human adrenal gland proteome defined by transcriptomics and antibody-based p...,"Bergman J, Botling J, ..., Pontén F",ENDOCRINOLOGY,27901589
153,Affinity Proteomics,Tissue Profiling,10.18632/oncotarget.11957,,5.008,Collaborative,per-henrik.edqvist@igp.uu.se,1949-2553,PROX1 is a novel pathway-specific prognostic biomarker for high-grade astrocytom...,"Roodakker KR, Elsir T, ..., Smits A",ONCOTARGET,27626492
155,Affinity Proteomics,Tissue Profiling,10.18632/oncotarget.9632,,5.008,Service,per-henrik.edqvist@igp.uu.se,1949-2553,Survival-associated heterogeneity of marker-defined perivascular cells in colore...,"Mezheyeuski A, Bradic Lindh M, ..., Östman A",ONCOTARGET,27248825
184,Chemical Biology Consortium Sweden,The Laboratories for Chemical Biology at Karolinska Institutet (LCBKI),10.1021/acs.jmedchem.6b01009,,5.589,Collaborative,lars.johansson@ki.se,0022-2623 1520-4804,The Oncolytic Efficacy and in Vivo Pharmacokinetics of [2-(4-Chlorophenyl)quinol...,"Hammarström LGJ, Harmel RK, ..., Ernfors P",J MED CHEM,27607569
185,Chemical Biology Consortium Sweden,The Laboratories for Chemical Biology at Karolinska Institutet (LCBKI),10.1021/acschemneuro.6b00146,,4.348,Collaborative,lars.johansson@ki.se,1948-7193 1948-7193,Aryl Sulfonamide Inhibitors of Insulin-Regulated Aminopeptidase Enhance Spine De...,"Diwakarla S, Nylander E, ..., Hallberg M",ACS CHEM NEUROSCI,27501164
189,Chemical Biology Consortium Sweden,The Laboratories for Chemical Biology at Karolinska Institutet (LCBKI),10.1124/mol.115.102533,,3.95,Collaborative,lars.johansson@ki.se,1521-0111,Binding to and Inhibition of Insulin-Regulated Aminopeptidase by Macrocyclic Dis...,"Diwakarla S, Nylander E, ..., Hallberg M",,26769413
195,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),10.1021/acs.jmedchem.5b01759,"J Med Chem. 2016 Mar 10;59(5):2094-108, DOI:",4.46,Collaborative,pawel.baranczewski@farmaci.uu.se,0022-2623 1520-4804,Thiazolino 2-Pyridone Amide Inhibitors ofChlamydia trachomatisInfectivity,"Good JAD, Silver J, ..., Almqvist F",,26849778
196,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),10.1021/acschemneuro.6b00146,ACS Chem Neurosci. 2016 Aug 8. [Epubahead of print] DOI:,3.94,Collaborative,pawel.baranczewski@farmaci.uu.se,1948-7193 1948-7193,Aryl Sulfonamide Inhibitors of Insulin-Regulated Aminopeptidase Enhance Spine De...,"Diwakarla S, Nylander E, ..., Hallberg M",,27501164
198,Drug Discovery and Development,N/A,10.1007/s10735-016-9685-0,,2.221,Collaborative,Per.Arvidsson@scilifelab.se,1567-2379 1567-2387,Neuroprotective potential of Linezolid: a quantitative and distribution study vi...,"Baijnath S, Shobo A, ..., Govender T",J MOL HISTOL,27324049
202,Drug Discovery and Development,Medicinal Chemistry – Lead Identifaction,10.1016/j.tetlet.2016.02.071,,2.347,Collaborative,ulrika.yngve@scilifelab.uu.se,0040-4039,Rapid and straightforward transesterification of sulfonyl carbamates,"Isaksson R, Kumpiņa I, ..., Wannberg J",TETRAHEDRON LETT,
205,Drug Discovery and Development,Medicinal Chemistry – Hit2Lead,10.1021/acs.jmedchem.6b01009,,5.589,Collaborative,ylva.gravenfors@scilifelab.se,0022-2623 1520-4804,The Oncolytic Efficacy and in Vivo Pharmacokinetics of [2-(4-Chlorophenyl)quinol...,"Hammarström LGJ, Harmel RK, ..., Ernfors P",J MED CHEM,27607569
207,Drug Discovery and Development,Medicinal Chemistry – Lead Identifaction,10.1021/acs.oprd.5b00323,,2.922,Collaborative,ulrika.yngve@scilifelab.uu.se,1083-6160 1520-586X,Microwave Promoted Transcarbamylation Reaction of Sulfonylcarbamates under Conti...,"Kumpiņa I, Isaksson R, ..., Larhed M",ORG PROCESS RES DEV,
209,Drug Discovery and Development,N/A,10.1055/s-0035-1561573,,2.323,Collaborative,Per.Arvidsson@scilifelab.se,0936-5214 1437-2096,An Efficient Protecting-Group-Free Synthesis of Vinylic Sulfoximines via Horner–...,"Naicker T, Arvidsson P, ..., Kruger H",SYNLETT,
210,Drug Discovery and Development,N/A,10.1055/s-0035-1561970,,2.323,Collaborative,Per.Arvidsson@scilifelab.se,0936-5214 1437-2096,A Facile Synthesis of NODASA-Functionalized Peptide,"Naicker T, Albericio F, ..., Govender T",SYNLETT,
212,Drug Discovery and Development,N/A,10.1111/sji.12479,,2.27,Collaborative,Per.Arvidsson@scilifelab.se,0300-9475,Tryptophan Metabolism Along the Kynurenine Pathway Downstream of Toll-like Recep...,"Orhan F, Bhat M, ..., Schwieler L",SCAND J IMMUNOL,27607184
213,Drug Discovery and Development,Medicinal Chemistry – Hit2Lead,10.1158/0008-5472.CAN-16-1476,,8.556,Collaborative,ylva.gravenfors@scilifelab.se,0008-5472 1538-7445,Crystal structure of the emerging cancer target MTHFD2 in complex with a substra...,"Gustafsson R, Jemth A, ..., Stenmark P",CANCER RES,27899380
214,Drug Discovery and Development,N/A,10.17159/0379-4350/2016/v69a9,,Kan inte hitta,Collaborative,Per.Arvidsson@scilifelab.se,1996-840X,Organocatalyzed Mannich reactions on minocycline: Towards novel tetracycline ant...,"CHIWUNZE TE, Azumah R, ..., Naicker T",,
217,Drug Discovery and Development,N/A,10.3998/ark.5550190.p009.462,,Kan inte hitta,Collaborative,Per.Arvidsson@scilifelab.se,1551-7012,Stereoselective synthesis towards unnatural proline based amino acids,,,
220,Functional Genomics,Karolinska High Throughput Center (KHTC),10.1038/srep29317,,5.228,Service,Jianping.liu@ki.se,2045-2322,Rosette-Disrupting Effect of an Anti-Plasmodial Compound for the Potential Treat...,"Ch’ng J, Moll K, ..., Wahlgren M",SCI REP-UK,27403804
225,Functional Genomics,Microbial Single Cell Genomics,10.1186/s40168-016-0197-7,,9,Technology development,thijs.ettema@icm.uu.se,2049-2618,Picodroplet partitioned whole genome amplification of low biomass samples preser...,"Hammond M, Homa F, ..., Joensson HN",MICROBIOME,27716450
226,Metabolomics,Swedish Metabolomics Centre,10.1002/cppb.20028,,?,Service,jonas.gullberg@slu.se,,Quantitative Auxin Metabolite Profiling Using Stable Isotope Dilution UHPLC-MS/MS,"Novák O, Pěnčík A, ..., Ljung K",,
228,Metabolomics,Swedish Metabolomics Centre,10.1007/s11104-016-2896-z,,2.969,Service,jonas.gullberg@slu.se,0032-079X 1573-5036,Direct acquisition of organic N by white clover even in the presence of inorganic N,"Czaban W, Jämtgård S, ..., Fomsgaard IS",PLANT SOIL,
