Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal,
3,Drug Discovery and Development,Protein Expression and Characterization,10.1089/adt.2016.708,,1.655,Service,anders.olsson@scilifelab.se,1540-658X 1557-8127,Identification of Drug-Like Inhibitors of Insulin-Regulated Aminopeptidase Throu...,"Engen K, Rosenström U, ..., Larhed M",ASSAY DRUG DEV TECHN,27078680
4,Drug Discovery and Development,Protein Expression and Characterization,10.1158/0008-5472.CAN-16-1476,,8.556,Service,anders.olsson@scilifelab.se,0008-5472 1538-7445,Crystal structure of the emerging cancer target MTHFD2 in complex with a substra...,"Gustafsson R, Jemth A, ..., Stenmark P",CANCER RES,
5,Drug Discovery and Development,ADME of Therapeutics (UDOPP),DOI:10.1021/acschemneuro.6b00146,,3.94,Collaborative,pawel.baranczewski@farmaci.uu.se,1948-7193 1948-7193,Aryl Sulfonamide Inhibitors of Insulin-Regulated Aminopeptidase Enhance Spine De...,"Diwakarla S, Nylander E, ..., Hallberg M",,
6,Drug Discovery and Development,ADME of Therapeutics (UDOPP),DOI:10.1093/annonc/mdw429,PMID: 27827301,9.27,Collaborative,pawel.baranczewski@farmaci.uu.se,0923-7534 1569-8041,Validation and development of MTH1 inhibitors for treatment of cancer,"Warpman Berglund U, Sanjiv K, ..., Helleday T",,27827301
7,National Bioinformatics Infrastructure Sweden,Bioinformatics Long-term Support WABI,10.1038/ncomms13642,,11.329,Collaborative,bjorn.nystedt@scilifelab.se,2041-1723,Production of individualized V gene databases reveals high levels of immunoglobu...,"Corcoran MM, Phad GE, ..., Hedestam GBK",NAT COMMUN,
8,Affinity proteomics,Tissue profiling,10.1126/scitranslmed.aai9188,,16.264,Collaborative,per-henrik.edqvist@igp.uu.se,1946-6234 1946-6242,The protein phosphatase 2A regulatory subunit PR70 is a gonosomal melanoma tumor...,"van Kempen LCL, Redpath M, ..., Spatz A",SCI TRANSL MED,27974665
9,Affinity proteomics,Tissue profiling,10.1111/jop.12545,,1.859,Collaborative,per-henrik.edqvist@igp.uu.se,0904-2512,Cetuximab sensitivity of head and neck squamous cell carcinoma xenografts is ass...,"Jedlinski A, Garvin S, ..., Roberg K",J ORAL PATHOL MED,
10,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1002/cyto.a.22806,,3.181,Technology development,petter.ranefall@it.uu.se,1552-4922,Global gray-level thresholding based on object size,"Ranefall P, Wählby C",CYTOM PART A,26800009
11,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1109/JSTSP.2015.2491304,,2.569,Collaborative,petter.ranefall@it.uu.se,1932-4553 1941-0484,Segmentation and Track-Analysis in Time-Lapse Imaging of Bacteria,"Sadanandan SK, Baltekin O, ..., Wahlby C",IEEE J-STSP,
12,National Bioinformatics Infrastructure Sweden,Bioinformatics Long-term Support WABI,10.1038/srep25274,,5.228,Service,bjorn.nystedt@scilifelab.se,2045-2322,Changes in variation at the MHC class II DQA locus during the final demise of th...,"Pečnerová P, Díez-del-Molino D, ..., Dalén L",SCI REP-UK,27143688
22,Next-Generation Diagnostics,Clinical Sequencing,10.3324/haematol.2016.142968,,6.671,Service,malin.melin@scilifelab.uu.se,0390-6078 1592-8721,ATM mutations in major stereotyped subsets of chronic lymphocytic leukemia: enri...,"Navrkalova V, Young E, ..., Trbusek M",HAEMATOLOGICA,27479817
23,Next-Generation Diagnostics,Clinical Sequencing,10.1038/leu.2016.359,,12.104,Collaborative,malin.melin@scilifelab.uu.se,0887-6924 1476-5551,EGR2 mutations define a new clinically aggressive subgroup of chronic lymphocyti...,"Young E, Noerenberg D, ..., Damm F",LEUKEMIA,27670424
24,Next-Generation Diagnostics,Clinical Sequencing,10.3324/haematol.2015.139246,,6.671,Service,malin.melin@scilifelab.uu.se,0390-6078 1592-8721,Innovation in the prognostication of chronic lymphocytic leukemia: how far beyon...,"Pospisilova S, Sutton L, ..., Ghia P",HAEMATOLOGICA,26928246
25,Next-Generation Diagnostics,Clinical Sequencing,10.3324/haematol.2015.134510,,6.671,Collaborative,malin.melin@scilifelab.uu.se,0390-6078 1592-8721,Clinical impact of recurrently mutated genes on lymphoma diagnostics: state-of-t...,"Rosenquist R, Rosenwald A, ..., Stamatopoulos K",HAEMATOLOGICA,27582569
26,National Bioinformatics Infrastructure Sweden,Bioinformatics Long-term Support WABI,10.1101/085050,,?,Technology development,bjorn.nystedt@scilifelab.se,,WhatsHap: fast and accurate read-based phasing,"Martin M, Patterson M, ..., Marschall T",bioRxiv (e),
33,Affinity proteomics,Fluorescence Tissue Profiling,10.1177/0271678X16660984,,4.929,Technology development,jan.mulder@scilifelab.se,0271-678X 1559-7016,An automated method measures variability in P-glycoprotein and ABCG2 densities a...,"Kannan P, Schain M, ..., Mulder J",J CEREBR BLOOD F MET,27488911
34,Affinity proteomics,Fluorescence Tissue Profiling,10.1016/j.nucmedbio.2016.12.004,,2.429,Collaborative,jan.mulder@scilifelab.se,0969-8051,Development of [11C]/[3H]THK-5351 – A potential novel carbon-11 tau imaging PET ...,"Stepanov V, Svedberg M, ..., Halldin C",NUCL MED BIOL,28013122
35,Affinity proteomics,Fluorescence Tissue Profiling,10.1038/nn.4462,,16.724,Collaborative,jan.mulder@scilifelab.se,1097-6256 1546-1726,Molecular interrogation of hypothalamic organization reveals distinct dopamine n...,"Romanov RA, Zeisel A, ..., Harkany T",NAT NEUROSCI,27991900
36,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1002/path.4865,,?,Collaborative,mikael.borg@scilifelab.se,,,,Wiley Online Library (e),27805003
37,Structural Biology,Swedish NMR Centre (SNC),10.1152/ajpregu.00268.2016,,3.168,Collaborative,goran.karlsson@nmr.gu.se,0363-6119 1522-1490,Metabolic and functional characterization of effects of developmental temperatu...,"Schou MF, Kristensen TN, ..., Malmendal A",AM J PHYSIOL-REG I,27927623
