Title,Authors,Journal,Year,Published,E-published,Volume,Issue,Pages,DOI,PMID,Labels,Qualifiers,IUID,URL,DOI URL,PubMed URL
Sequence and gene expression evolution of paralogous genes in willows.,"Harikrishnan SL, Pucholt P, Berlin S",Sci Rep,2015,2015-12-22,2015-12-22,5,,18662,10.1038/srep18662,26689951,NGI Uppsala (SNP&SEQ Technology Platform),Service,5acd66e438084ca2bee217d62bc57bfc,https://publications.scilifelab.se/publication/5acd66e438084ca2bee217d62bc57bfc,https://doi.org/10.1038/srep18662,https://www.ncbi.nlm.nih.gov/pubmed/26689951
The Urinary Bladder Transcriptome and Proteome Defined by Transcriptomics and Antibody-Based Profiling.,"Habuka M, Fagerberg L, Hallström BM, Pontén F, Yamamoto T, Uhlen M",PLoS ONE,2015,2015-12-22,2015-12-22,10,12,e0145301,10.1371/journal.pone.0145301,26694548,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production), Tissue Profiling",Collaborative,d852a0e2b7b34fdd8fe46a5d3b682ca7,https://publications.scilifelab.se/publication/d852a0e2b7b34fdd8fe46a5d3b682ca7,https://doi.org/10.1371/journal.pone.0145301,https://www.ncbi.nlm.nih.gov/pubmed/26694548
Transcriptome analysis reveals mucin 4 to be highly associated with periodontitis and identifies pleckstrin as a link to systemic diseases.,"Lundmark A, Davanian H, Båge T, Johannsen G, Koro C, Lundeberg J, Yucel-Lindberg T",Sci Rep,2015,2015-12-21,2015-12-21,5,,18475,10.1038/srep18475,26686060,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production)",,831286c09f7e42ce987b6b5b948920dd,https://publications.scilifelab.se/publication/831286c09f7e42ce987b6b5b948920dd,https://doi.org/10.1038/srep18475,https://www.ncbi.nlm.nih.gov/pubmed/26686060
Genome-wide genetic homogeneity between sexes and populations for human height and body mass index.,"Yang J, Bakshi A, Zhu Z, Hemani G, Vinkhuyzen AA, Nolte IM, van Vliet-Ostaptchouk JV, Snieder H, Lifelines Cohort Study , Esko T, Milani L, Mägi R, Metspalu A, Hamsten A, Magnusson PK, Pedersen NL, Ingelsson E, Visscher PM",Hum. Mol. Genet.,2015,2015-12-20,2015-10-22,24,25,7445-7449,10.1093/hmg/ddv443,26494901,NGI Uppsala (SNP&SEQ Technology Platform),Service,f88a00be2c5846018d761d9e5b285daa,https://publications.scilifelab.se/publication/f88a00be2c5846018d761d9e5b285daa,https://doi.org/10.1093/hmg/ddv443,https://www.ncbi.nlm.nih.gov/pubmed/26494901
A significant risk locus on 19q13 for bipolar disorder identified using a combined genome-wide linkage and copy number variation analysis.,"Lekman M, Karlsson R, Graae L, Hössjer O, Kockum I",BioData Mining,2015,2015-12-18,2015-12-18,8,,42,10.1186/s13040-015-0076-y,26692414,NGI Uppsala (SNP&SEQ Technology Platform),Service,7a1ccf81ad1b49d393df7d54b35d15a8,https://publications.scilifelab.se/publication/7a1ccf81ad1b49d393df7d54b35d15a8,https://doi.org/10.1186/s13040-015-0076-y,https://www.ncbi.nlm.nih.gov/pubmed/26692414
Exploring water as building bricks in enzyme engineering.,"Hendil-Forssell P, Martinelle M, Syrén PO",Chem. Commun. (Camb.),2015,2015-12-18,2015-10-02,51,97,17221-17224,10.1039/c5cc07162c,26426706,Protein Science Facility (PSF),,986458fc9e3e45b98a1a5237922a54b0,https://publications.scilifelab.se/publication/986458fc9e3e45b98a1a5237922a54b0,https://doi.org/10.1039/c5cc07162c,https://www.ncbi.nlm.nih.gov/pubmed/26426706
Metagenome-assembled genomes uncover a global brackish microbiome.,"Hugerth LW, Larsson J, Alneberg J, Lindh MV, Legrand C, Pinhassi J, Andersson AF",Genome Biol.,2015,2015-12-14,2015-12-14,16,,279,10.1186/s13059-015-0834-7,26667648,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production)",,b545e90c796a469a8e13301f4d18b22b,https://publications.scilifelab.se/publication/b545e90c796a469a8e13301f4d18b22b,https://doi.org/10.1186/s13059-015-0834-7,https://www.ncbi.nlm.nih.gov/pubmed/26667648
Metagenome-Based Metabolic Reconstruction Reveals the Ecophysiological Function of Epsilonproteobacteria in a Hydrocarbon-Contaminated Sulfidic Aquifer.,"Keller AH, Schleinitz KM, Starke R, Bertilsson S, Vogt C, Kleinsteuber S",Front Microbiol,2015,2015-12-10,2015-12-10,6,,1396,10.3389/fmicb.2015.01396,26696999,NGI Uppsala (SNP&SEQ Technology Platform),Service,1a46554ef92942328f73f752d6f8e826,https://publications.scilifelab.se/publication/1a46554ef92942328f73f752d6f8e826,https://doi.org/10.3389/fmicb.2015.01396,https://www.ncbi.nlm.nih.gov/pubmed/26696999
High levels of WNT-5A in human glioma correlate with increased presence of tumor-associated microglia/monocytes.,"Dijksterhuis JP, Arthofer E, Marinescu VD, Nelander S, Uhlén M, Pontén F, Mulder J, Schulte G",Exp. Cell Res.,2015,2015-12-10,2015-10-25,339,2,280-288,10.1016/j.yexcr.2015.10.022,26511503,Tissue Profiling,Collaborative,eb22b31c5fbe4e418ad14cfd63c28a51,https://publications.scilifelab.se/publication/eb22b31c5fbe4e418ad14cfd63c28a51,https://doi.org/10.1016/j.yexcr.2015.10.022,https://www.ncbi.nlm.nih.gov/pubmed/26511503
Pleiotrophin promotes vascular abnormalization in gliomas and correlates with poor survival in patients with astrocytomas.,"Zhang L, Kundu S, Feenstra T, Li X, Jin C, Laaniste L, El Hassan TE, Ohlin KE, Yu D, Olofsson T, Olsson AK, Pontén F, Magnusson PU, Nilsson KF, Essand M, Smits A, Dieterich LC, Dimberg A",Sci Signal,2015,2015-12-08,2015-12-08,8,406,ra125,10.1126/scisignal.aaa1690,26645582,Tissue Profiling,Collaborative,13ad7bd3b71d4d7ea7e2ccdb219db87f,https://publications.scilifelab.se/publication/13ad7bd3b71d4d7ea7e2ccdb219db87f,https://doi.org/10.1126/scisignal.aaa1690,https://www.ncbi.nlm.nih.gov/pubmed/26645582
