Title,Authors,Journal,Year,Published,E-published,Volume,Issue,Pages,DOI,PMID,Labels,Qualifiers,IUID,URL,DOI URL,PubMed URL
"
            In muro deacetylation of xylan affects lignin properties and improves saccharification of aspen wood","Pawar PMA, Derba-Maceluch M, Chong SL, Gandla ML, Bashar SS, Sparrman T, Ahvenainen P, Hedenström M, Özparpucu M, Rüggeberg M, Serimaa R, Lawoko M, Tenkanen M, Jönsson LJ, Mellerowicz EJ",Biotechnol Biofuels,2017,2017-12-00,2017-04-20,10,1,,10.1186/s13068-017-0782-4,,Swedish NMR Centre (SNC),Collaborative,0fc10e2a8e984be2a2db97949bcb3821,https://publications.scilifelab.se/publication/0fc10e2a8e984be2a2db97949bcb3821,https://doi.org/10.1186/s13068-017-0782-4,
Development of an efficient route for combined recycling of PET and cotton from mixed fabrics,"Palme A, Peterson A, de la Motte H, Theliander H, Brelid H",Text Cloth Sustain,2017,2017-12-00,2017-02-22,3,1,,10.1186/s40689-017-0026-9,,Swedish NMR Centre (SNC),Service,1396a775cb7a4fc5a2fcc4011998a292,https://publications.scilifelab.se/publication/1396a775cb7a4fc5a2fcc4011998a292,https://doi.org/10.1186/s40689-017-0026-9,
Highly sensitive and specific protein detection via combined capillary isoelectric focusing and proximity ligation,"Padhan N, Yan J, Boge A, Scrivener E, Birgisson H, Zieba A, Gullberg M, Kamali-Moghaddam M, Claesson-Welsh L, Landegren U",Sci Rep,2017,2017-12-00,2017-05-04,7,1,,10.1038/s41598-017-01516-7,28473697,PLA Proteomics,Technology development,25667b18e9cd4a24be39919d778fcecb,https://publications.scilifelab.se/publication/25667b18e9cd4a24be39919d778fcecb,https://doi.org/10.1038/s41598-017-01516-7,https://www.ncbi.nlm.nih.gov/pubmed/28473697
Transcriptome sequencing in pediatric acute lymphoblastic leukemia identifies fusion genes associated with distinct DNA methylation profiles,"Marincevic-Zuniga Y, Dahlberg J, Nilsson S, Raine A, Nystedt S, Lindqvist CM, Berglund EC, Abrahamsson J, Cavelier L, Forestier E, Heyman M, Lönnerholm G, Nordlund J, Syvänen AC",J Hematol Oncol,2017,2017-12-00,2017-08-14,10,1,,10.1186/s13045-017-0515-y,,"Bioinformatics Compute and Storage, NGI Uppsala (SNP&SEQ Technology Platform)","Service, Service",29256f43a3fd4115a18d255f5802b221,https://publications.scilifelab.se/publication/29256f43a3fd4115a18d255f5802b221,https://doi.org/10.1186/s13045-017-0515-y,
Agonist-induced dimer dissociation as a macromolecular step in G protein-coupled receptor signaling,"Petersen J, Wright SC, Rodríguez D, Matricon P, Lahav N, Vromen A, Friedler A, Strömqvist J, Wennmalm S, Carlsson J, Schulte G",Nat Commun,2017,2017-12-00,2017-08-09,8,1,,10.1038/s41467-017-00253-9,,Fluorescence Correlation Spectroscopy,Collaborative,3ed56227ce694d0b8a4fbaabec439db8,https://publications.scilifelab.se/publication/3ed56227ce694d0b8a4fbaabec439db8,https://doi.org/10.1038/s41467-017-00253-9,
Structural basis for dolichylphosphate mannose biosynthesis,"Gandini R, Reichenbach T, Tan TC, Divne C",Nat Commun,2017,2017-12-00,2017-07-25,8,1,,10.1038/s41467-017-00187-2,,Protein Science Facility (PSF),Service,4b838933f7564dbcbb8d65bfc4f78b19,https://publications.scilifelab.se/publication/4b838933f7564dbcbb8d65bfc4f78b19,https://doi.org/10.1038/s41467-017-00187-2,
Genome-wide standing variation facilitates long-term response to bidirectional selection for antibody response in chickens,"Lillie M, Sheng Z, Honaker CF, Dorshorst BJ, Ashwell CM, Siegel PB, Carlborg Ö",BMC Genomics,2017,2017-12-00,2017-01-18,18,1,,10.1186/s12864-016-3414-7,,NGI Uppsala (SNP&SEQ Technology Platform),Service,4c60c5b0a8564155ad92ca6e79e2a352,https://publications.scilifelab.se/publication/4c60c5b0a8564155ad92ca6e79e2a352,https://doi.org/10.1186/s12864-016-3414-7,
Inflammatory infiltrates in parathyroid tumors.,"Haglund F, Hallström BM, Nilsson IL, Höög A, Juhlin CC, Larsson C",Eur. J. Endocrinol.,2017,2017-12-00,2017-08-30,177,6,445-453,10.1530/EJE-17-0277,28855268,"Bioinformatics Compute and Storage, NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production)","Service, Service, Service",5dc932db5ed947d5912b3f59db7f4023,https://publications.scilifelab.se/publication/5dc932db5ed947d5912b3f59db7f4023,https://doi.org/10.1530/EJE-17-0277,https://www.ncbi.nlm.nih.gov/pubmed/28855268
Multiple genotypes within aecial clusters in Puccinia graminis and Puccinia coronata: improved understanding of the biology of cereal rust fungi,"Berlin A, Samils B, Andersson B",Fungal Biol Biotechnol,2017,2017-12-00,2017-05-03,4,1,,10.1186/s40694-017-0032-3,,"Bioinformatics Compute and Storage, NGI Uppsala (Uppsala Genome Center)","Service, Service",6fa4d2ff4f9e44c5ad4978a084dea8b3,https://publications.scilifelab.se/publication/6fa4d2ff4f9e44c5ad4978a084dea8b3,https://doi.org/10.1186/s40694-017-0032-3,
Mapping of leptin and its syntenic genes to chicken chromosome 1p,"Seroussi E, Pitel F, Leroux S, Morisson M, Bornelöv S, Miyara S, Yosefi S, Cogburn LA, Burt DW, Anderson L, Friedman-Einat M",BMC Genet.,2017,2017-12-00,2017-08-09,18,1,,10.1186/s12863-017-0543-1,28793857,NGI Uppsala (SNP&SEQ Technology Platform),Service,6fa53d5882bc44ccb2d2078ffadb5c1e,https://publications.scilifelab.se/publication/6fa53d5882bc44ccb2d2078ffadb5c1e,https://doi.org/10.1186/s12863-017-0543-1,https://www.ncbi.nlm.nih.gov/pubmed/28793857
RNA-sequence data normalization through in silico prediction of reference genes: the bacterial response to DNA damage as case study,"Berghoff BA, Karlsson T, Källman T, Wagner EGH, Grabherr MG",BioData Mining,2017,2017-12-00,2017-09-05,10,1,,10.1186/s13040-017-0150-8,,"Bioinformatics Compute and Storage, NGI Uppsala (SNP&SEQ Technology Platform)","Service, Service",772771bb3bbc4cbcb15ffb55d59a1acb,https://publications.scilifelab.se/publication/772771bb3bbc4cbcb15ffb55d59a1acb,https://doi.org/10.1186/s13040-017-0150-8,
Draft genome of the brown-rot fungus Fomitopsis pinicola GR9-4.,"Kancherla RP, Durling MB, Stenlid J, Högberg N",Data Brief,2017,2017-12-00,2017-09-25,15,,496-500,10.1016/j.dib.2017.09.043,29062876,"Bioinformatics Compute and Storage, NGI Uppsala (Uppsala Genome Center)","Service, Service",79290fe0255d450fbbb5b0817adda42a,https://publications.scilifelab.se/publication/79290fe0255d450fbbb5b0817adda42a,https://doi.org/10.1016/j.dib.2017.09.043,https://www.ncbi.nlm.nih.gov/pubmed/29062876
Automated Training of Deep Convolutional Neural Networks for Cell Segmentation,"Sadanandan SK, Ranefall P, Le Guyader S, Wählby C",Sci Rep,2017,2017-12-00,2017-08-10,7,1,,10.1038/s41598-017-07599-6,28798336,BioImage Informatics,Technology development,793737c7164b487eb6f97d8b1b3b984a,https://publications.scilifelab.se/publication/793737c7164b487eb6f97d8b1b3b984a,https://doi.org/10.1038/s41598-017-07599-6,https://www.ncbi.nlm.nih.gov/pubmed/28798336
A Drosophila female pheromone elicits species-specific long-range attraction via an olfactory channel with dual specificity for sex and food,"Lebreton S, Borrero-Echeverry F, Gonzalez F, Solum M, Wallin EA, Hedenström E, Hansson BS, Gustavsson AL, Bengtsson M, Birgersson G, Walker WB, Dweck HKM, Becher PG, Witzgall P",BMC Biol.,2017,2017-12-00,2017-09-29,15,1,,10.1186/s12915-017-0427-x,,Chemical Biology Consortium Sweden (CBCS),Collaborative,83a7f53f82784bc18e60e7b0bf1ea3f9,https://publications.scilifelab.se/publication/83a7f53f82784bc18e60e7b0bf1ea3f9,https://doi.org/10.1186/s12915-017-0427-x,
Novel risk genes for systemic lupus erythematosus predicted by random forest classification,"Almlöf JC, Alexsson A, Imgenberg-Kreuz J, Sylwan L, Bäcklin C, Leonard D, Nordmark G, Tandre K, Eloranta ML, Padyukov L, Bengtsson C, Jönsen A, Dahlqvist SR, Sjöwall C, Bengtsson AA, Gunnarsson I, Svenungsson E, Rönnblom L, Sandling JK, Syvänen AC",Sci Rep,2017,2017-12-00,2017-07-24,7,1,,10.1038/s41598-017-06516-1,,"Bioinformatics Compute and Storage, NGI Uppsala (SNP&SEQ Technology Platform)","Service, Service",8be977a6fe724420894f3df784d9aff1,https://publications.scilifelab.se/publication/8be977a6fe724420894f3df784d9aff1,https://doi.org/10.1038/s41598-017-06516-1,
"
            SNX10 gene mutation leading to osteopetrosis with dysfunctional osteoclasts","Stattin EL, Henning P, Klar J, McDermott E, Stecksen-Blicks C, Sandström PE, Kellgren TG, Rydén P, Hallmans G, Lönnerholm T, Ameur A, Helfrich MH, Coxon FP, Dahl N, Wikström J, Lerner UH",Sci Rep,2017,2017-12-00,2017-06-07,7,1,,10.1038/s41598-017-02533-2,,"Bioinformatics Compute and Storage, NGI Uppsala (Uppsala Genome Center)","Service, Service",8debe2b674394b34846e436ba217e239,https://publications.scilifelab.se/publication/8debe2b674394b34846e436ba217e239,https://doi.org/10.1038/s41598-017-02533-2,
Rho-kinase inhibitor Y-27632 and hypoxia synergistically enhance chondrocytic phenotype and modify S100 protein profiles in human chondrosarcoma cells,"Piltti J, Bygdell J, Fernández-Echevarría C, Marcellino D, Lammi MJ",Sci Rep,2017,2017-12-00,2017-06-16,7,1,,10.1038/s41598-017-03958-5,,Bioinformatics Support and Infrastructure,Collaborative,b0c456eb98294268808bdeeb2a0263c0,https://publications.scilifelab.se/publication/b0c456eb98294268808bdeeb2a0263c0,https://doi.org/10.1038/s41598-017-03958-5,
Correspondence on Lovell et al.: identification of chicken genes previously assumed to be evolutionarily lost,"Bornelöv S, Seroussi E, Yosefi S, Pendavis K, Burgess SC, Grabherr M, Friedman-Einat M, Andersson L",Genome Biol.,2017,2017-12-00,2017-06-14,18,1,,10.1186/s13059-017-1231-1,,"Bioinformatics Compute and Storage, NGI Uppsala (SNP&SEQ Technology Platform)","Service, Service",b16e57c3e23a42a7a678a2b216cebed3,https://publications.scilifelab.se/publication/b16e57c3e23a42a7a678a2b216cebed3,https://doi.org/10.1186/s13059-017-1231-1,
"The cryo-EM structure of hibernating 100S ribosome dimer from pathogenic Staphylococcus aureus
        ","Matzov D, Aibara S, Basu A, Zimmerman E, Bashan A, Yap MNF, Amunts A, Yonath AE",Nat Commun,2017,2017-12-00,2017-09-28,8,1,,10.1038/s41467-017-00753-8,,Cryo-EM,Service,badabce6ebc648ef88ba8754e445e30f,https://publications.scilifelab.se/publication/badabce6ebc648ef88ba8754e445e30f,https://doi.org/10.1038/s41467-017-00753-8,
Flow Cytometric Measurement of Blood Cells with BCR-ABL1 Fusion Protein in Chronic Myeloid Leukemia,"Löf L, Arngården L, Olsson-Strömberg U, Siart B, Jansson M, Dahlin JS, Thörn I, Christiansson L, Hermansson M, Larsson A, Ahlstrand E, Wålinder G, Söderberg O, Rosenquist R, Landegren U, Kamali-Moghaddam M",Sci Rep,2017,2017-12-00,2017-04-04,7,1,,10.1038/s41598-017-00755-y,28377570,PLA Proteomics,Technology development,cc9a907e212c47deb1bf893bc47087c6,https://publications.scilifelab.se/publication/cc9a907e212c47deb1bf893bc47087c6,https://doi.org/10.1038/s41598-017-00755-y,https://www.ncbi.nlm.nih.gov/pubmed/28377570
