pmid,doi,label,qualifier
28675688,10.1111/1755-0998.12699,NGI Stockholm (Genomics Applications),Service
28095416,10.1371/journal.pgen.1006495,NGI Uppsala (SNP&SEQ Technology Platform),Service
28100699,10.1093/nar/gkx006,NGI Uppsala (Uppsala Genome Center),Collaborative
28990276,10.1002/ajmg.b.32574,NGI Stockholm (Genomics Applications),Service
,10.1002/humu.23268,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1021/acs.jproteome.6b00834,NGI Uppsala (SNP&SEQ Technology Platform),Service
28217745,10.1128/mSystems.00125-16,NGI Stockholm (Genomics Applications),Service
,10.1038/nature21031,NGI Uppsala (SNP&SEQ Technology Platform),Service
27909820,10.1007/s10096-016-2842-2,NGI Stockholm (Genomics Applications),Service
28904364,10.1038/s41598-017-11574-6,NGI Stockholm (Genomics Applications),Service
,10.1038/leu.2016.359,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.7554/elife.23084,NGI Uppsala (Uppsala Genome Center),Service
28335808,10.1186/s40168-017-0253-y,NGI Stockholm (Genomics Applications),Service
28921562,10.1002/pd.5156,NGI Uppsala (Uppsala Genome Center),Technology development
28194012,10.1038/ijo.2017.43,NGI Uppsala (SNP&SEQ Technology Platform),Service
28360231,10.1101/gr.215095.116,NGI Stockholm (Genomics Applications),Service
,10.1371/journal.pgen.1006792,NGI Uppsala (SNP&SEQ Technology Platform),Service
28224997,10.1038/ncomms14533,NGI Uppsala (Uppsala Genome Center),Service
28545587,10.1186/s13073-017-0432-2,NGI Stockholm (Genomics Applications),Service
,10.2337/db16-0996,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1038/srep45518,NGI Uppsala (Uppsala Genome Center),Service
28731472,10.1038/ismej.2017.114,NGI Stockholm (Genomics Applications),Service
28951586,10.1038/s41598-017-12110-2,NGI Uppsala (SNP&SEQ Technology Platform),Service
28957584,10.1093/femsec/fix105,NGI Uppsala (Uppsala Genome Center),Service
27612989,10.3324/haematol.2016.149815,NGI Uppsala (SNP&SEQ Technology Platform),Service
28818916,10.1126/science.aan2507,NGI Stockholm (Genomics Applications),Service
28572309,10.1128/genomeA.00394-17,NGI Stockholm (Genomics Applications),Service
28495876,10.1126/science.aal3321,NGI Stockholm (Genomics Applications),Service
28595629,10.1186/s40478-017-0441-9,NGI Uppsala (SNP&SEQ Technology Platform),Service
28685811,10.1111/cge.13091,NGI Uppsala (Uppsala Genome Center),Service
28981642,10.1093/gbe/evx163,NGI Stockholm (Genomics Applications),Service
,10.1080/20008686.2017.1328963,NGI Uppsala (SNP&SEQ Technology Platform),Service
28731473,10.1038/ismej.2017.108,NGI Stockholm (Genomics Applications),Service
28383641,10.1093/molbev/msx111,NGI Stockholm (Genomics Applications),Service
29040868,10.1016/j.atherosclerosis.2017.09.031,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1073/pnas.1612561114,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1038/s41598-017-02533-2,NGI Uppsala (Uppsala Genome Center),Service
,10.1073/pnas.1614190114,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1126/science.aaf3883,NGI Uppsala (SNP&SEQ Technology Platform),Service
28395321,10.1095/biolreprod.116.142547,NGI Stockholm (Genomics Applications),Service
,10.1093/nar/gkx753,NGI Uppsala (Uppsala Genome Center),Service
,10.1111/2041-210x.12700,NGI Uppsala (SNP&SEQ Technology Platform),Service
27908689,10.1016/S2213-8587(16)30396-5,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1126/science.aao6266,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1093/gbe/evx205,NGI Uppsala (SNP&SEQ Technology Platform),Service
28097436,10.1007/s00401-017-1675-0,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.3389/fmicb.2017.00142,NGI Uppsala (Uppsala Genome Center),Service
,10.3732/ajb.1700255,NGI Stockholm (Genomics Applications),Service
28398344,10.1038/nbt.3835,NGI Stockholm (Genomics Applications),Service
28525570,10.1093/nar/gkx436,NGI Stockholm (Genomics Applications),Service
,10.1093/nar/gkw1110,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1242/jeb.157891,NGI Uppsala (Uppsala Genome Center),Service
27519822,10.1016/j.biopsych.2016.05.010,NGI Uppsala (SNP&SEQ Technology Platform),Service
28319323,10.1002/ajmg.a.38214,NGI Stockholm (Genomics Applications),Service
27932482,10.1093/nar/gkw1186,NGI Uppsala (SNP&SEQ Technology Platform),Technology development
,10.1128/aem.02634-16,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1016/j.foreco.2017.07.046,NGI Uppsala (Uppsala Genome Center),Service
,10.1016/j.aqrep.2016.12.003,NGI Stockholm (Genomics Applications),Service
28613276,10.1038/ncomms15805,NGI Uppsala (SNP&SEQ Technology Platform),Service
27862604,10.1002/humu.23146,NGI Stockholm (Genomics Applications),Service
,10.1111/mec.14122,NGI Uppsala (Uppsala Genome Center),Service
28406900,10.1371/journal.pgen.1006402,NGI Stockholm (Genomics Applications),Service
27193031,10.1136/annrheumdis-2016-209436,NGI Uppsala (SNP&SEQ Technology Platform),Service
28715440,10.1371/journal.pone.0181084,NGI Stockholm (Genomics Applications),Service
,10.1128/genomea.00138-17,NGI Uppsala (Uppsala Genome Center),Collaborative
,10.7717/peerj.3702,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1111/gfs.12238,NGI Stockholm (Genomics Applications),Collaborative
28095459,10.1371/journal.pmed.1002215,NGI Uppsala (SNP&SEQ Technology Platform),Service
28146470,10.1038/nature21039,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1186/s13045-017-0515-y,NGI Uppsala (SNP&SEQ Technology Platform),Service
28780361,10.1016/j.watres.2017.07.060,NGI Stockholm (Genomics Applications),Service
28341696,10.2337/db16-1329,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1002/evl3.15,NGI Stockholm (Genomics Applications),Service
28942743,10.1017/S0033291717002665,NGI Uppsala (SNP&SEQ Technology Platform),Service
29079597,10.3324/haematol.2017.176719,NGI Uppsala (Uppsala Genome Center),Service
28028880,10.1111/1462-2920.13650,NGI Stockholm (Genomics Applications),Service
28715506,10.1371/journal.pone.0181192,NGI Stockholm (Genomics Applications),Service
27839851,10.1016/j.envint.2016.11.010,NGI Uppsala (SNP&SEQ Technology Platform),Service
29069469,10.1093/nar/gkx940,NGI Stockholm (Genomics Applications),Service
27521279,10.1016/j.jaci.2016.06.040,NGI Stockholm (Genomics Applications),Service
,10.1016/j.ecss.2016.06.016,NGI Uppsala (Uppsala Genome Center),Service
28716088,10.1186/s12885-017-3472-5,NGI Uppsala (SNP&SEQ Technology Platform),Service
28714469,10.1038/ncomms16021,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1073/pnas.1617728114,NGI Uppsala (SNP&SEQ Technology Platform),Service
28346815,10.1371/journal.pone.0174614,NGI Stockholm (Genomics Applications),Service
,10.1016/j.jtho.2016.11.647,NGI Stockholm (Genomics Applications),Service
28748388,10.1007/s00198-017-4150-9,NGI Stockholm (Genomics Applications),Service
28777485,10.1002/jbmr.3233,NGI Stockholm (Genomics Applications),Service
,10.1111/ele.12862,NGI Uppsala (Uppsala Genome Center),Service
